customer_id,age,employment_status,education_level,annual_income,num_previous_loans,avg_payment_delay_days,credit_history_length,num_defaults,current_credit_score,loan_amount,loan_term_months,loan_purpose,collateral_present,default_flag
CUST000076,51,Retired,Bachelor,54356,0,18,3,1,576,42832,24,Car Loan,Yes,1
CUST000077,43,Employed,Diploma,74103,1,9,6,1,619,42085,60,Car Loan,Yes,1
CUST000078,38,Retired,Bachelor,20000,1,5,2,0,581,36883,36,Business,Yes,0
CUST000079,43,Employed,High School,69753,1,7,3,0,651,88421,36,Home Loan,No,0
CUST000080,18,Employed,Bachelor,126688,1,2,6,1,616,41735,72,Business,Yes,0
CUST000081,39,Retired,Master,43151,4,3,4,1,651,38635,48,Crypto-Backed,No,0
CUST000082,46,Student,Bachelor,70983,1,8,1,0,654,30476,60,Home Loan,No,0
CUST000083,59,Employed,Bachelor,29663,6,13,1,0,620,16507,72,Car Loan,Yes,1
CUST000084,35,Employed,Bachelor,77661,2,13,5,0,632,72111,24,Education,No,1
CUST000085,32,Employed,Bachelor,63263,1,0,4,0,608,46053,36,Education,No,1
CUST000086,35,Retired,High School,54659,0,2,6,0,701,11741,48,Business,Yes,0
CUST000087,52,Employed,Diploma,53126,2,2,2,0,669,24336,60,Car Loan,Yes,0
CUST000088,45,Employed,Bachelor,59708,1,2,5,1,628,45528,60,Car Loan,Yes,1
CUST000089,35,Self-Employed,Master,47476,3,6,4,1,517,55991,12,Home Loan,No,1
CUST000090,48,Employed,Bachelor,30137,2,3,7,0,658,145136,48,Home Loan,Yes,0
CUST000091,43,Employed,Bachelor,45527,7,6,1,0,638,21642,36,Education,Yes,0
CUST000092,53,Retired,Bachelor,47865,1,0,7,1,621,17617,48,Business,No,0
CUST000093,33,Retired,PhD,27256,3,2,3,0,569,24274,12,Car Loan,Yes,1
CUST000094,38,Student,Bachelor,46386,1,24,1,1,572,125545,48,Car Loan,Yes,1
CUST000095,37,Employed,Bachelor,47530,3,10,8,1,630,5574,36,Crypto-Backed,Yes,1
CUST000096,24,Retired,High School,37785,7,2,7,0,674,32077,36,Car Loan,Yes,0
CUST000097,45,Unemployed,Diploma,58462,0,2,6,0,721,38337,36,Home Loan,Yes,1
CUST000098,45,Employed,Diploma,65825,0,2,3,0,680,34208,24,Car Loan,No,0
CUST000099,42,Self-Employed,Master,35177,3,11,2,0,633,13815,36,Business,Yes,0
CUST000100,39,Employed,Diploma,52815,1,19,12,0,693,13025,60,Car Loan,Yes,0
CUST000101,25,Self-Employed,Bachelor,77234,7,5,9,1,631,5493,48,Car Loan,Yes,1
CUST000102,36,Unemployed,PhD,29578,1,4,2,1,591,16604,48,Education,No,1
CUST000103,37,Unemployed,Master,21341,3,6,5,0,685,51019,24,Business,Yes,0
CUST000104,32,Employed,Bachelor,30620,0,7,5,0,603,7608,48,Car Loan,Yes,0
CUST000105,40,Self-Employed,High School,63796,6,7,9,0,724,12375,24,Car Loan,No,0
CUST000106,46,Employed,High School,39012,5,16,6,0,672,7568,36,Education,Yes,1
CUST000107,64,Student,High School,26389,6,40,4,0,652,8438,36,Business,Yes,0
CUST000108,44,Self-Employed,Bachelor,92475,0,0,2,0,672,23457,12,Car Loan,No,0
CUST000109,45,Employed,Diploma,27168,0,10,5,0,661,45128,48,Education,No,0
CUST000110,41,Employed,High School,45013,4,0,6,0,627,11677,24,Car Loan,No,0
CUST000111,18,Self-Employed,Bachelor,70847,3,4,4,1,627,54145,72,Education,No,1
CUST000112,41,Employed,High School,68532,3,9,12,0,722,25669,36,Car Loan,No,0
CUST000113,42,Unemployed,Bachelor,60394,6,3,14,0,790,150000,36,Business,No,1
CUST000114,71,Employed,Bachelor,35102,0,0,3,0,605,42645,24,Home Loan,Yes,0
CUST000115,39,Self-Employed,Bachelor,64792,0,0,6,0,655,49728,24,Crypto-Backed,No,1
CUST000116,45,Employed,PhD,49384,9,6,6,0,694,30794,36,Education,No,0
CUST000117,41,Employed,Diploma,60070,4,3,6,0,683,14085,72,Car Loan,No,0
CUST000118,27,Student,Diploma,97277,5,36,3,1,573,20342,72,Business,Yes,1
CUST000119,55,Self-Employed,Diploma,26987,2,23,6,0,607,33252,12,Home Loan,No,1
CUST000120,51,Employed,Bachelor,59433,3,3,4,0,617,15576,24,Crypto-Backed,Yes,0
CUST000121,51,Student,Master,52631,7,4,8,1,633,60181,36,Education,Yes,0
CUST000122,31,Employed,Master,78603,2,0,3,0,642,24374,48,Business,Yes,0
CUST000123,58,Self-Employed,PhD,119271,5,7,3,0,575,23521,24,Business,No,0
CUST000124,25,Employed,Bachelor,117427,15,5,7,1,580,17916,24,Business,No,1
CUST000125,49,Employed,Bachelor,74421,5,0,6,1,662,66042,48,Home Loan,No,1
CUST000126,68,Employed,Bachelor,36339,0,5,11,0,715,31105,48,Business,Yes,0
CUST000127,30,Employed,Bachelor,39689,0,7,7,0,716,8045,24,Crypto-Backed,No,0
CUST000128,35,Retired,High School,70311,0,2,8,0,696,18679,48,Car Loan,No,1
CUST000129,43,Retired,High School,25763,3,1,3,1,584,31415,36,Education,No,1
CUST000130,35,Employed,Diploma,43619,4,5,3,0,677,38278,48,Home Loan,No,0
CUST000131,23,Employed,High School,33890,7,12,1,0,595,45715,12,Business,No,0
CUST000132,42,Retired,Master,27217,5,10,5,0,636,88046,12,Business,Yes,1
CUST000133,29,Employed,Bachelor,55486,3,2,8,0,694,31074,24,Crypto-Backed,No,0
CUST000134,47,Employed,Bachelor,72750,3,21,3,0,567,67505,48,Car Loan,No,1
CUST000135,30,Employed,High School,66181,5,6,4,0,634,10205,24,Home Loan,No,0
CUST000136,60,Employed,Bachelor,52004,8,3,7,1,630,31507,12,Crypto-Backed,No,0
CUST000137,32,Employed,Bachelor,41104,1,6,4,0,683,19185,24,Business,Yes,0
CUST000138,38,Self-Employed,Diploma,37710,6,50,4,0,594,19550,36,Car Loan,No,1
CUST000139,51,Employed,Bachelor,75790,5,2,11,0,734,10230,48,Home Loan,Yes,0
CUST000140,27,Retired,Master,37958,4,2,7,0,668,24080,24,Crypto-Backed,Yes,1
CUST000141,44,Employed,Bachelor,37419,0,13,1,0,572,17529,48,Business,Yes,0
CUST000142,57,Employed,Bachelor,60209,4,1,9,0,722,12299,24,Business,Yes,0
CUST000143,22,Employed,Diploma,30015,3,3,3,1,565,17492,36,Car Loan,Yes,1
CUST000144,44,Unemployed,Bachelor,51153,2,1,2,1,616,150000,36,Education,Yes,1
CUST000145,45,Employed,Master,37624,4,7,4,0,561,39888,60,Business,Yes,1
CUST000146,51,Employed,Master,35041,0,1,2,2,519,17705,36,Car Loan,No,1
CUST000147,27,Unemployed,High School,43261,4,0,5,2,586,13580,48,Crypto-Backed,No,1
CUST000148,26,Employed,Bachelor,71483,2,20,8,0,693,13214,24,Education,No,0
CUST000149,48,Self-Employed,High School,53550,1,5,3,1,584,18375,24,Business,No,1
CUST000150,45,Student,Bachelor,56758,4,15,3,0,690,20271,72,Car Loan,Yes,0
CUST000151,45,Employed,Master,71644,0,4,5,0,666,10480,48,Business,No,0
CUST000152,46,Employed,Bachelor,66959,2,8,9,1,588,23200,72,Car Loan,No,0
CUST000153,33,Employed,Diploma,44833,3,2,4,1,629,46675,36,Car Loan,Yes,0
CUST000154,44,Retired,Diploma,64748,14,6,3,0,640,20097,12,Home Loan,No,1
CUST000155,45,Employed,Diploma,45061,2,6,2,0,652,25696,36,Car Loan,Yes,0
CUST000156,33,Self-Employed,Master,61029,3,0,6,0,623,37140,72,Car Loan,No,0
CUST000157,64,Unemployed,Master,82521,1,4,10,0,699,17180,60,Education,No,0
CUST000158,47,Employed,Master,63596,2,2,10,0,720,13259,36,Education,No,0
CUST000159,27,Unemployed,Diploma,26286,0,12,7,0,620,50923,72,Business,Yes,0
CUST000160,49,Employed,Bachelor,38238,3,12,9,0,717,15107,60,Home Loan,No,0
CUST000161,30,Employed,High School,67763,3,9,1,1,571,40631,24,Home Loan,No,0
CUST000162,51,Self-Employed,Diploma,20000,3,6,1,0,534,27783,24,Business,Yes,1
CUST000163,55,Employed,Bachelor,57629,3,4,1,0,669,25664,60,Business,Yes,0
CUST000164,32,Employed,Diploma,56031,3,29,3,0,621,15078,60,Car Loan,Yes,0
CUST000165,53,Self-Employed,High School,191697,2,14,8,1,714,110773,36,Car Loan,No,0
CUST000166,46,Self-Employed,High School,60848,2,11,3,0,658,46736,12,Car Loan,Yes,0
CUST000167,51,Employed,Bachelor,46432,0,6,3,0,622,19208,36,Home Loan,Yes,0
CUST000168,64,Unemployed,Diploma,87714,8,4,4,0,640,14689,12,Home Loan,No,0
CUST000169,39,Employed,High School,41266,3,0,4,2,504,8507,36,Business,No,1
CUST000170,32,Retired,Diploma,50067,1,11,2,1,591,52524,24,Car Loan,Yes,1
CUST000171,31,Unemployed,Diploma,51247,3,0,2,0,653,20541,60,Car Loan,Yes,0
CUST000172,32,Employed,Bachelor,66178,2,3,7,0,655,30322,12,Car Loan,No,0
CUST000173,41,Employed,Master,30895,1,0,3,1,556,21830,36,Car Loan,No,1
CUST000174,46,Self-Employed,Diploma,74365,4,7,13,0,753,16707,48,Business,Yes,0
CUST000175,45,Retired,PhD,37689,1,25,3,1,588,46559,48,Crypto-Backed,No,1
CUST000176,51,Employed,High School,137271,4,5,8,1,742,30203,24,Car Loan,No,0
CUST000177,42,Employed,High School,23004,2,2,3,0,679,18491,12,Business,No,1
CUST000178,59,Employed,Bachelor,33567,4,17,11,0,672,43974,36,Home Loan,No,0
CUST000179,38,Employed,Bachelor,20000,7,5,5,0,676,38382,12,Car Loan,No,0
CUST000180,74,Self-Employed,Diploma,215868,7,8,5,0,638,23876,36,Car Loan,No,0
CUST000181,49,Employed,Diploma,26543,1,0,4,1,593,31013,36,Education,No,1
CUST000182,31,Self-Employed,Bachelor,71684,5,21,14,0,725,49773,36,Crypto-Backed,No,0
CUST000183,29,Retired,PhD,70510,4,3,7,1,633,73109,48,Car Loan,Yes,0
CUST000184,47,Student,PhD,31163,1,6,3,0,601,64272,48,Home Loan,No,1
CUST000185,39,Employed,Bachelor,72151,2,17,1,0,625,9765,12,Car Loan,Yes,0
CUST000186,50,Unemployed,Bachelor,28724,2,15,5,0,622,8569,36,Home Loan,No,1
CUST000187,47,Retired,Master,32637,0,12,10,1,664,17886,24,Home Loan,No,0
CUST000188,41,Employed,Bachelor,22450,1,18,4,0,646,24832,60,Education,No,1
CUST000189,31,Employed,PhD,68516,3,11,5,1,650,45686,48,Car Loan,No,1
CUST000190,23,Retired,Master,20000,0,10,11,0,725,13978,72,Car Loan,No,0
CUST000191,36,Employed,Bachelor,59678,4,12,4,1,617,53069,48,Home Loan,No,1
CUST000192,52,Student,Diploma,46082,3,5,3,0,591,150000,60,Car Loan,Yes,0
CUST000193,44,Employed,Bachelor,117185,2,3,4,0,669,75795,12,Crypto-Backed,No,0
CUST000194,27,Employed,Master,49826,3,3,5,0,645,23769,72,Home Loan,Yes,0
CUST000195,44,Employed,Diploma,74905,3,1,6,0,627,71377,36,Home Loan,No,0
CUST000196,46,Employed,High School,63301,0,36,3,1,603,10263,48,Business,Yes,1
CUST000197,31,Employed,Diploma,46555,0,4,7,1,599,12578,48,Home Loan,No,1
CUST000198,43,Employed,PhD,85601,3,1,1,0,613,9440,60,Education,Yes,0
CUST000199,42,Employed,Bachelor,59275,1,9,9,1,684,51731,36,Car Loan,No,0
CUST000200,28,Employed,High School,76829,0,3,3,1,538,27675,12,Car Loan,Yes,0
CUST000201,46,Employed,High School,30826,8,3,15,0,709,89516,36,Car Loan,Yes,0
CUST000202,48,Unemployed,Bachelor,63840,0,24,1,1,585,150000,48,Home Loan,No,1
CUST000203,54,Employed,Bachelor,73194,0,4,13,0,715,24023,36,Business,No,0
CUST000204,54,Retired,High School,28438,0,6,8,2,621,54789,12,Crypto-Backed,No,1
CUST000205,25,Retired,PhD,47243,0,3,3,1,578,46943,48,Car Loan,Yes,1
CUST000206,30,Employed,Bachelor,20554,1,0,4,0,658,18713,24,Car Loan,No,0
CUST000207,48,Employed,Bachelor,22170,1,2,6,0,655,27668,36,Car Loan,Yes,1
CUST000208,48,Retired,Master,47574,4,4,5,0,655,16889,48,Car Loan,Yes,0
CUST000209,48,Unemployed,Diploma,120585,1,1,5,0,702,35223,48,Crypto-Backed,No,0
CUST000210,80,Employed,Bachelor,125338,2,5,6,2,573,31891,48,Car Loan,Yes,1
CUST000211,48,Self-Employed,Bachelor,42089,3,6,13,0,739,42571,60,Car Loan,Yes,0
CUST000212,55,Employed,PhD,30462,5,18,3,0,601,33610,12,Home Loan,No,0
CUST000213,53,Employed,High School,77930,7,0,13,1,720,48457,24,Home Loan,No,0
CUST000214,49,Employed,Bachelor,20000,0,9,14,0,731,23473,36,Home Loan,No,0
CUST000215,38,Employed,Bachelor,40071,8,26,2,0,571,33561,60,Business,No,1
CUST000216,51,Student,Master,33722,4,0,3,0,600,22371,60,Car Loan,No,1
CUST000217,32,Retired,Master,46950,7,8,9,0,670,39241,36,Crypto-Backed,No,1
CUST000218,39,Self-Employed,High School,97505,4,0,10,0,725,44672,60,Education,Yes,0
CUST000219,36,Employed,Diploma,20000,0,4,3,1,544,34646,48,Car Loan,Yes,0
CUST000220,42,Employed,High School,57249,0,2,12,1,663,41417,36,Crypto-Backed,Yes,1
CUST000221,69,Employed,Bachelor,58198,0,4,4,0,654,5494,12,Education,No,0
CUST000222,19,Employed,Master,47548,0,2,1,0,641,67639,48,Business,Yes,0
CUST000223,50,Employed,High School,56709,9,4,6,1,631,31448,72,Crypto-Backed,No,0
CUST000224,22,Employed,Bachelor,63394,3,6,2,0,603,55245,12,Education,Yes,0
CUST000225,36,Employed,Master,53059,3,3,3,1,553,52029,60,Home Loan,Yes,1
CUST000226,55,Student,Master,20000,0,3,6,0,663,36236,60,Home Loan,Yes,0
CUST000227,42,Student,Bachelor,31426,2,4,7,1,582,42533,48,Car Loan,Yes,1
CUST000228,29,Employed,Master,108966,2,0,5,0,653,84725,48,Business,No,1
CUST000229,33,Self-Employed,Diploma,27350,5,4,1,1,555,25871,24,Crypto-Backed,Yes,1
CUST000230,50,Employed,Diploma,51037,2,0,12,2,588,47115,36,Business,No,1
CUST000231,33,Employed,High School,34177,3,22,2,1,560,107567,24,Business,No,1
CUST000232,44,Retired,Bachelor,65999,1,60,1,0,654,13147,12,Education,Yes,0
CUST000233,42,Self-Employed,Bachelor,44297,1,1,16,1,720,37067,36,Business,Yes,1
CUST000234,34,Employed,Diploma,68007,4,0,6,2,620,21356,48,Home Loan,No,0
CUST000235,67,Employed,High School,59368,4,3,5,0,626,11971,36,Business,No,0
CUST000236,49,Student,Diploma,40340,1,8,4,1,583,8246,36,Car Loan,Yes,0
CUST000237,18,Employed,Diploma,20000,3,1,8,0,654,10993,36,Business,No,1
CUST000238,44,Employed,Master,31786,3,7,8,0,615,52931,36,Home Loan,No,0
CUST000239,34,Student,PhD,26818,3,5,4,0,610,12571,36,Home Loan,Yes,1
CUST000240,52,Employed,High School,26717,9,13,3,0,526,24045,36,Education,No,1
CUST000241,32,Employed,High School,63055,1,10,1,0,647,17807,36,Business,Yes,0
CUST000242,40,Employed,Master,134902,5,18,5,1,610,57256,48,Home Loan,Yes,1
CUST000243,48,Retired,High School,20000,2,12,3,1,588,14908,24,Car Loan,Yes,1
CUST000244,52,Retired,Master,23083,0,4,5,0,633,41609,24,Car Loan,Yes,0
CUST000245,27,Employed,Diploma,55052,4,13,12,1,649,11682,12,Business,No,0
CUST000246,37,Employed,Bachelor,43186,3,5,6,1,635,128702,72,Business,Yes,1
CUST000247,36,Employed,Bachelor,61491,2,2,7,0,697,82664,36,Car Loan,No,0
CUST000248,34,Employed,Diploma,47887,1,3,16,0,767,9941,60,Education,Yes,0
CUST000249,63,Employed,High School,94728,3,2,3,0,666,60903,36,Car Loan,No,0
CUST000250,46,Employed,Master,65196,1,6,4,0,633,19195,72,Business,Yes,0
CUST000251,26,Employed,PhD,75999,5,12,6,0,679,6180,72,Crypto-Backed,Yes,0
CUST000252,53,Student,Bachelor,81550,1,0,6,0,678,61759,48,Education,No,0
CUST000253,67,Employed,Master,27002,1,9,6,0,672,8624,48,Business,No,0
CUST000254,54,Employed,Master,65748,0,20,2,0,608,17452,48,Car Loan,No,0
CUST000255,23,Employed,Diploma,67604,2,7,3,0,629,12679,48,Home Loan,No,0
CUST000256,36,Self-Employed,Diploma,41322,0,11,3,1,578,28776,36,Business,Yes,1
CUST000257,57,Employed,Diploma,41190,7,4,4,1,641,19462,60,Car Loan,No,1
CUST000258,33,Employed,High School,41771,1,0,6,3,502,60910,36,Business,No,1
CUST000259,47,Unemployed,Bachelor,31580,3,12,6,3,538,28721,12,Home Loan,No,1
CUST000260,51,Student,High School,24582,9,2,2,0,689,57297,36,Education,No,0
CUST000261,30,Self-Employed,High School,143316,4,2,15,2,643,52645,72,Car Loan,No,0
CUST000262,41,Employed,Diploma,84125,1,0,11,1,697,32325,36,Business,No,0
CUST000263,18,Employed,High School,49661,4,1,3,0,592,32131,48,Car Loan,No,1
CUST000264,29,Unemployed,High School,23536,7,5,3,0,603,13395,72,Car Loan,Yes,1
CUST000265,38,Employed,High School,64401,1,9,3,0,625,26426,36,Business,No,0
CUST000266,27,Employed,Master,40860,1,8,6,0,609,26976,12,Home Loan,Yes,0
CUST000267,61,Student,Bachelor,45328,2,6,4,0,584,40698,36,Home Loan,Yes,1
CUST000268,24,Retired,Master,150832,4,7,5,2,567,13370,24,Crypto-Backed,No,1
CUST000269,36,Retired,Master,126622,4,5,8,0,621,23242,48,Business,No,0
CUST000270,43,Retired,Master,20000,1,1,6,1,598,31374,60,Car Loan,Yes,1
CUST000271,59,Self-Employed,High School,58844,4,2,8,1,644,28978,48,Crypto-Backed,Yes,1
CUST000272,24,Unemployed,Master,53251,1,5,6,0,602,63155,36,Education,Yes,1
CUST000273,55,Employed,Bachelor,58546,1,20,5,0,648,31956,36,Business,No,1
CUST000274,42,Student,High School,37089,4,3,5,1,646,21056,36,Education,No,1
CUST000275,30,Employed,Bachelor,49091,0,10,4,0,582,6335,24,Car Loan,No,0
CUST000276,47,Self-Employed,Diploma,28369,2,5,3,0,631,12942,48,Car Loan,Yes,0
CUST000277,44,Employed,High School,82351,3,12,9,1,624,25709,24,Business,Yes,0
CUST000278,34,Employed,High School,81102,6,2,4,0,592,22996,60,Car Loan,No,0
CUST000279,42,Employed,Diploma,111356,2,4,5,0,719,12178,36,Business,Yes,0
CUST000280,37,Employed,Master,33294,0,5,5,1,577,19055,60,Car Loan,No,1
CUST000281,43,Self-Employed,Diploma,56097,0,0,7,0,659,23873,60,Car Loan,Yes,0
CUST000282,49,Employed,Bachelor,136177,6,45,5,0,619,42889,12,Car Loan,Yes,0
CUST000283,61,Employed,High School,34973,0,9,3,0,681,15218,72,Education,Yes,0
CUST000284,27,Employed,Diploma,29593,1,3,1,0,663,34354,60,Business,No,1
CUST000285,67,Employed,High School,56962,1,5,4,0,684,4193,72,Home Loan,No,0
CUST000286,18,Retired,Master,87777,1,21,10,1,743,32215,48,Crypto-Backed,No,1
CUST000287,40,Employed,PhD,35117,0,5,9,0,704,36728,60,Car Loan,No,1
CUST000288,49,Employed,Diploma,128852,0,17,4,1,551,10062,48,Crypto-Backed,No,1
CUST000289,45,Employed,PhD,31011,1,1,4,0,603,64567,36,Business,No,1
CUST000290,34,Retired,Bachelor,68124,1,1,11,1,667,27123,24,Car Loan,Yes,0
CUST000291,39,Self-Employed,High School,34949,3,19,1,1,552,43701,48,Car Loan,No,1
CUST000292,36,Employed,Bachelor,38833,7,8,4,0,627,14646,24,Education,No,0
CUST000293,34,Retired,Master,73962,10,0,1,0,576,15712,24,Home Loan,No,1
CUST000294,52,Retired,Bachelor,44151,3,5,3,0,670,28152,60,Car Loan,No,0
CUST000295,46,Unemployed,Bachelor,22935,1,2,4,2,569,38955,48,Education,No,1
CUST000296,33,Employed,Diploma,32881,6,1,4,0,633,17417,24,Business,No,0
CUST000297,52,Unemployed,Diploma,70322,2,0,5,2,539,17707,60,Car Loan,Yes,1
CUST000298,45,Employed,High School,59798,2,26,7,0,675,11137,48,Education,No,0
CUST000299,51,Unemployed,Bachelor,70458,3,2,7,0,649,25933,24,Crypto-Backed,No,1
CUST000300,49,Retired,Bachelor,36266,2,3,11,0,728,11884,12,Crypto-Backed,No,0
CUST000301,32,Retired,Bachelor,28854,5,4,3,1,537,67531,72,Business,No,0
CUST000302,35,Employed,Bachelor,32552,1,7,3,1,582,25375,24,Business,No,1
CUST000303,50,Retired,Diploma,33685,4,4,3,1,580,39933,36,Car Loan,No,1
CUST000304,49,Employed,High School,47886,0,12,6,0,656,15589,36,Crypto-Backed,Yes,0
CUST000305,41,Employed,Master,27119,0,4,6,0,667,5296,48,Crypto-Backed,No,0
CUST000306,43,Employed,Diploma,83508,0,0,1,1,597,21243,60,Car Loan,Yes,1
